,x,y,z,idx
187,38.0,51.0,9.499311,0
188,39.0,51.0,9.496103,0
189,40.0,51.0,9.518111,0
190,41.0,51.0,9.559064,0
191,42.0,51.0,9.602572,0
192,43.0,51.0,9.718632,0
193,44.0,51.0,9.937809,0
194,26.0,52.0,9.871642,0
195,27.0,52.0,9.65235,0
196,28.0,52.0,9.570422,0
197,29.0,52.0,9.543221,0
198,30.0,52.0,9.533833,0
199,31.0,52.0,9.544072,0
200,32.0,52.0,9.547934,0
201,33.0,52.0,9.55649,0
202,34.0,52.0,9.623663,0
203,35.0,52.0,9.74642,0
204,36.0,52.0,9.63203,0
205,37.0,52.0,9.541423,0
206,38.0,52.0,9.517532,0
207,39.0,52.0,9.518788,0
208,40.0,52.0,9.529864,0
209,41.0,52.0,9.574786,0
210,42.0,52.0,9.66851,0
211,43.0,52.0,9.844113,0
212,27.0,53.0,9.696484,0
213,28.0,53.0,9.578977,0
214,29.0,53.0,9.547394,0
215,30.0,53.0,9.535478,0
216,31.0,53.0,9.537549,0
217,32.0,53.0,9.55174,0
218,33.0,53.0,9.590916,0
219,34.0,53.0,9.712552,0
220,35.0,53.0,9.794871,0
221,36.0,53.0,9.652964,0
222,37.0,53.0,9.568207,0
223,38.0,53.0,9.544072,0
224,39.0,53.0,9.546963,0
225,40.0,53.0,9.559739,0
226,41.0,53.0,9.613749,0
227,42.0,53.0,9.764906,0
228,27.0,54.0,9.79738,0
229,28.0,54.0,9.6339035,0
230,29.0,54.0,9.574193,0
231,30.0,54.0,9.5556,0
232,31.0,54.0,9.552178,0
233,32.0,54.0,9.574549,0
234,33.0,54.0,9.659158,0
235,34.0,54.0,9.836745,0
236,35.0,54.0,9.844884,0
237,36.0,54.0,9.694396,0
238,37.0,54.0,9.613884,0
239,38.0,54.0,9.581034,0
240,39.0,54.0,9.579097,0
241,40.0,54.0,9.610245,0
242,41.0,54.0,9.706395,0
243,27.0,55.0,9.892635,0
244,28.0,55.0,9.726331,0
245,29.0,55.0,9.62704,0
246,30.0,55.0,9.593819,0
247,31.0,55.0,9.589412,0
248,32.0,55.0,9.632894,0
249,33.0,55.0,9.787888,0
250,35.0,55.0,9.926865,0
251,36.0,55.0,9.768289,0
252,37.0,55.0,9.686337,0
253,38.0,55.0,9.647337,0
254,39.0,55.0,9.648697,0
255,40.0,55.0,9.710186,0
256,41.0,55.0,9.883837,0
257,28.0,56.0,9.817068,0
258,29.0,56.0,9.702291,0
259,30.0,56.0,9.648092,0
260,31.0,56.0,9.656821,0
261,32.0,56.0,9.749843,0
262,36.0,56.0,9.868646,0
263,37.0,56.0,9.773634,0
264,38.0,56.0,9.748429,0
265,39.0,56.0,9.778182,0
266,40.0,56.0,9.910471,0
267,28.0,57.0,9.917079,0
268,29.0,57.0,9.817549,0
269,30.0,57.0,9.754319,0
270,31.0,57.0,9.788558,0
271,33.0,38.0,10.858187,0
272,34.0,38.0,10.783225,0
273,35.0,38.0,10.742631,0
274,36.0,38.0,10.717334,0
275,37.0,38.0,10.729189,0
276,38.0,38.0,10.807104,0
277,39.0,38.0,10.861645,0
278,40.0,38.0,10.868646,0
279,41.0,38.0,10.92042,0
280,31.0,39.0,10.916172,0
281,32.0,39.0,10.7569895,0
282,33.0,39.0,10.641511,0
283,34.0,39.0,10.602834,0
284,35.0,39.0,10.589162,0
285,36.0,39.0,10.5821295,0
286,37.0,39.0,10.590413,0
287,38.0,39.0,10.640772,0
288,39.0,39.0,10.654347,0
289,40.0,39.0,10.65235,0
290,41.0,39.0,10.689915,0
291,42.0,39.0,10.788111,0
292,30.0,40.0,10.788782,0
293,31.0,40.0,10.73947,0
294,32.0,40.0,10.6318865,0
295,33.0,40.88694,10.0,0
296,33.0,40.0,10.554381,0
297,34.0,40.76155,10.0,0
298,34.0,40.0,10.527952,0
299,35.0,40.708557,10.0,0
300,35.0,40.0,10.516571,0
301,36.0,40.702824,10.0,0
302,36.0,40.0,10.522887,0
303,37.0,40.717518,10.0,0
304,37.0,40.0,10.534346,0
305,38.0,40.7574,10.0,0
306,38.0,40.0,10.551959,0
307,39.0,40.861645,10.0,0
308,39.0,40.0,10.555378,0
309,40.0,40.0,10.561776,0
310,41.0,40.0,10.598164,0
311,42.0,40.0,10.679957,0
312,43.0,40.0,10.817789,0
313,44.0,40.0,10.848495,0
314,45.0,40.0,10.884399,0
315,29.0,41.0,10.759057,0
316,30.0,41.0,10.6735325,0
317,31.0,41.0,10.651587,0
318,32.88694,41.0,10.0,0
319,32.0,41.873558,10.0,0
320,32.0,41.0,10.56053,0
321,39.138355,41.0,10.0,0
322,40.0,41.870823,10.0,0
323,40.0,41.0,10.533116,0
324,41.0,41.0,10.573245,0
325,42.0,41.0,10.649,0
326,43.0,41.0,10.721242,0
327,44.0,41.0,10.72671,0
328,45.0,41.0,10.749034,0
329,46.0,41.0,10.790576,0
330,47.0,41.0,10.821415,0
331,48.0,41.0,10.827774,0
332,49.0,41.0,10.861912,0
333,28.0,42.0,10.735946,0
334,29.0,42.0,10.641215,0
335,30.0,42.0,10.616334,0
336,31.87356,42.0,10.0,0
337,31.0,42.915268,10.0,0
338,31.0,42.0,10.602572,0
339,40.129177,42.0,10.0,0
340,41.0,42.875484,10.0,0
341,41.0,42.0,10.589162,0
342,42.0,42.88694,10.0,0
343,42.0,42.0,10.586304,0
344,43.0,42.0,10.575143,0
345,44.0,42.0,10.580427,0
346,45.0,42.0,10.593185,0
347,46.0,42.0,10.631598,0
348,47.0,42.0,10.659158,0
349,48.0,42.0,10.658377,0
350,49.0,42.0,10.6933565,0
351,50.0,42.0,10.760303,0
352,51.0,42.0,10.833484,0
353,27.0,43.0,10.839018,0
354,28.0,43.0,10.631025,0
355,29.0,43.0,10.576336,0
356,30.915268,43.0,10.0,0
357,30.0,43.874386,10.0,0
358,30.0,43.0,10.577293,0
359,42.11306,43.0,10.0,0
360,43.0,43.762806,10.0,0
361,43.0,43.0,10.497435,0
362,44.0,43.87219,10.0,0
363,44.0,43.0,10.507516,0
364,45.0,43.0,10.520147,0
365,46.0,43.0,10.552618,0
366,47.0,43.0,10.578254,0
367,48.0,43.0,10.582617,0
368,49.0,43.0,10.602442,0
369,50.0,43.0,10.648092,0
370,51.0,43.0,10.719934,0
371,52.0,43.0,10.819719,0
372,27.0,44.0,10.748631,0
373,28.0,44.0,10.596111,0
374,29.874384,44.0,10.0,0
375,29.0,44.914062,10.0,0
376,29.0,44.0,10.550756,0
377,44.12781,44.0,10.0,0
378,45.0,44.9189,10.0,0
379,45.0,44.0,10.510406,0
380,46.0,44.0,10.527551,0
381,47.0,44.0,10.543116,0
382,48.0,44.0,10.554381,0
383,49.0,44.0,10.563027,0
384,50.0,44.0,10.583228,0
385,51.0,44.0,10.627322,0
386,52.0,44.0,10.694917,0
387,53.0,44.0,10.771915,0
388,54.0,44.0,10.9048395,0
389,27.0,45.0,10.699463,0
390,28.914062,45.0,10.0,0
391,28.0,45.0,10.58581,0
392,45.0811,45.0,10.0,0
393,46.0,45.0,10.526352,0
394,47.0,45.0,10.526651,0
395,48.0,45.0,10.534963,0
396,49.0,45.0,10.544286,0
397,50.0,45.0,10.554603,0
398,51.0,45.0,10.572655,0
399,52.0,45.0,10.596751,0
400,53.0,45.0,10.636225,0
401,54.0,45.0,10.72406,0
402,55.0,45.0,10.896378,0
403,26.0,46.0,10.731491,0
404,27.0,46.0,10.642549,0
405,28.799904,46.0,10.0,0
406,28.0,46.9309,10.0,0
407,28.0,46.0,10.582617,0
408,45.096043,46.0,10.0,0
409,46.0,46.901905,10.0,0
410,46.0,46.0,10.526851,0
411,47.0,46.903664,10.0,0
412,47.0,46.0,10.50947,0
413,48.0,46.916172,10.0,0
414,48.0,46.0,10.510406,0
415,49.0,46.0,10.519953,0
416,50.0,46.0,10.527751,0
417,51.0,46.0,10.532299,0
418,52.0,46.0,10.544605,0
419,53.0,46.0,10.581156,0
420,54.0,46.0,10.64991,0
421,55.0,46.0,10.779055,0
422,25.0,47.0,10.824827,0
423,26.0,47.0,10.621432,0
424,27.9309,47.0,10.0,0
425,27.0,47.912563,10.0,0
426,27.0,47.0,10.582984,0
427,48.083828,47.0,10.0,0
428,49.0,47.0,10.503016,0
429,50.0,47.0,10.50891,0
430,51.0,47.0,10.506868,0
431,52.0,47.0,10.520732,0
432,53.0,47.0,10.557383,0
433,54.0,47.0,10.615925,0
434,55.0,47.0,10.713833,0
435,25.0,48.0,10.681792,0
436,26.912563,48.0,10.0,0
437,26.0,48.0,10.568788,0
438,47.0,48.114758,10.0,0
439,48.10449,48.0,10.0,0
440,48.0,48.10449,10.0,0
441,49.0,48.0,10.501202,0
442,50.0,48.0,10.504477,0
443,51.0,48.0,10.50613,0
444,52.0,48.0,10.522493,0
445,53.0,48.0,10.555489,0
446,54.0,48.0,10.594581,0
447,55.0,48.0,10.683973,0
448,56.0,48.0,10.863787,0
449,24.0,49.0,10.830247,0
450,25.0,49.0,10.639739,0
451,26.761553,49.0,10.0,0
452,26.0,49.897247,10.0,0
453,26.0,49.0,10.5549345,0
454,45.0,49.126987,10.0,0
455,46.088634,49.0,10.0,0
456,46.0,49.088634,10.0,0
457,47.0,49.0,10.512948,0
458,48.0,49.0,10.515135,0
459,49.0,49.0,10.5213175,0
460,50.0,49.0,10.5267515,0
461,51.0,49.0,10.533525,0
462,52.0,49.0,10.552947,0
463,53.0,49.0,10.579822,0
464,54.0,49.0,10.628884,0
465,55.0,49.0,10.717704,0
466,56.0,49.0,10.8863735,0
467,24.0,50.0,10.7569895,0
468,25.897245,50.0,10.0,0
469,25.0,50.0,10.634772,0
470,44.18221,50.0,10.0,0
471,45.0,50.0,10.561209,0
472,46.0,50.0,10.563712,0
473,47.0,50.0,10.573482,0
474,48.0,50.0,10.58804,0
475,49.0,50.0,10.599971,0
476,50.0,50.0,10.606384,0
477,51.0,50.0,10.617292,0
478,52.0,50.0,10.6366625,0
479,53.0,50.0,10.667707,0
480,54.0,50.0,10.721429,0
481,55.0,50.0,10.805934,0
482,24.0,51.0,10.737312,0
483,25.855808,51.0,10.0,0
484,25.0,51.0,10.64359,0
485,44.06219,51.0,10.0,0
486,44.0,51.06219,10.0,0
487,45.0,51.0,10.665789,0
488,46.0,51.0,10.6906,0
489,47.0,51.0,10.666587,0
490,48.0,51.0,10.622128,0
491,49.0,51.0,10.584209,0
492,50.0,51.0,10.569021,0
493,51.0,51.0,10.570422,0
494,52.0,51.0,10.585193,0
495,53.0,51.0,10.625206,0
496,54.0,51.0,10.695612,0
497,55.0,51.0,10.817308,0
498,24.0,52.0,10.721992,0
499,25.871641,52.0,10.0,0
500,25.0,52.0,10.658065,0
501,26.0,52.128357,10.0,0
502,43.155888,52.0,10.0,0
503,43.0,52.155888,10.0,0
504,44.0,52.0,10.695961,0
505,45.0,52.0,10.767228,0
506,46.0,52.0,10.684984,0
507,47.0,52.0,10.611722,0
508,48.0,52.0,10.561095,0
509,49.0,52.0,10.525656,0
510,50.0,52.0,10.515326,0
511,51.0,52.0,10.52005,0
512,52.0,52.0,10.538383,0
513,53.0,52.0,10.578977,0
514,54.0,52.0,10.660096,0
515,55.0,52.0,10.802213,0
516,24.0,53.0,10.727852,0
517,25.0,53.0,10.678961,0
518,26.696484,53.0,10.0,0
519,26.0,53.0,10.607312,0
520,42.235096,53.0,10.0,0
521,42.0,53.235096,10.0,0
522,43.0,53.0,10.652504,0
523,44.0,53.0,10.79419,0
524,45.0,53.0,10.693876,0
525,46.0,53.0,10.60036,0
526,47.0,53.0,10.571948,0
527,48.0,53.0,10.562117,0
528,49.0,53.0,10.536926,0
529,50.0,53.0,10.520245,0
530,51.0,53.0,10.525456,0
531,52.0,53.0,10.545139,0
532,53.0,53.0,10.597392,0
533,54.0,53.0,10.703713,0
534,55.0,53.0,10.87659,0
535,24.0,54.0,10.767228,0
536,25.0,54.0,10.664674,0
537,26.79738,54.0,10.0,0
538,26.0,54.0,10.606253,0
539,34.0,54.163254,10.0,0
540,41.293606,54.0,10.0,0
541,42.0,54.0,10.581763,0
542,43.0,54.0,10.771915,0
543,44.0,54.0,10.753501,0
544,45.0,54.0,10.616744,0
545,46.0,54.0,10.559514,0
546,47.0,54.0,10.553498,0
547,48.0,54.0,10.578374,0
548,49.0,54.0,10.59079,0
549,50.0,54.0,10.56937,0
550,51.0,54.0,10.563599,0
551,52.0,54.0,10.584209,0
552,53.0,54.0,10.64991,0
553,54.0,54.0,10.784109,0
554,24.0,55.0,10.828268,0
555,25.0,55.0,10.641808,0
556,26.892635,55.0,10.0,0
557,26.0,55.0,10.565317,0
558,27.0,55.107365,10.0,0
559,33.212112,55.0,10.0,0
560,33.0,55.212112,10.0,0
561,34.926865,55.0,10.0,0
562,34.0,55.0,10.628173,0
563,35.0,55.073135,10.0,0
564,41.11616,55.0,10.0,0
